taxonomia_id,sistema,componente,descripcion_estandar,activo,created_at,id_modo_falla,subsistema,aplica_combustion,aplica_hibrido,aplica_electrico
56383d86-7071-4baa-82d4-464f90356f8a,combustible_admision,riel_comun,Fuga en riel comun,True,2026-05-31 04:23:17.257255+00:00,2,inyeccion,True,True,False
9c7b9ed6-d188-4995-90db-4f1d36a156df,combustible_admision,cuerpo_aceleracion,Obstruccion en cuerpo aceleracion,True,2026-05-31 04:23:17.257255+00:00,3,admision,True,True,False
fc109809-bd8a-4e10-94d7-b0ca480f1bcd,combustible_admision,cuerpo_aceleracion,Sensor fuera rango en cuerpo aceleracion,True,2026-05-31 04:23:17.257255+00:00,21,admision,True,True,False
6953176b-7d5e-434f-b3d0-da8692af318c,combustible_admision,sensor_maf_map,Sensor fuera rango en sensor maf map,True,2026-05-31 04:23:17.257255+00:00,21,sensores,True,True,False
5ad81eb0-d36e-42e8-bf20-0cbf6b43d7a0,combustible_admision,sensor_maf_map,Mezcla incorrecta en sensor maf map,True,2026-05-31 04:23:17.257255+00:00,40,sensores,True,True,False
542eec1e-fe91-4d95-aa71-f9105bbb6fb5,escape_emisiones,dpf,Obstruccion en dpf,True,2026-05-31 04:23:17.257255+00:00,3,postratamiento,True,True,False
052fef9e-dba5-4c51-9a1a-2eaf36fce843,escape_emisiones,dpf,Regeneracion fallida en dpf,True,2026-05-31 04:23:17.257255+00:00,38,postratamiento,True,True,False
ee32a1d5-bc08-4a9d-959b-fee5239610f8,escape_emisiones,egr,Obstruccion en egr,True,2026-05-31 04:23:17.257255+00:00,3,recirculacion,True,True,False
ef87f83a-56d8-4712-9a9f-19d0f3238f9f,escape_emisiones,egr,No funciona en egr,True,2026-05-31 04:23:17.257255+00:00,14,recirculacion,True,True,False
bc9ee195-f23e-44b4-9b7b-b6af21d6d5e5,escape_emisiones,catalizador,Obstruccion en catalizador,True,2026-05-31 04:23:17.257255+00:00,3,postratamiento,True,True,False
e4e70037-fb64-44e9-8cf8-c2e60d99f56f,escape_emisiones,catalizador,Exceso emisiones en catalizador,True,2026-05-31 04:23:17.257255+00:00,39,postratamiento,True,True,False
982ba517-d315-4bbb-a5c8-52e163d93143,escape_emisiones,sensor_o2_nox,Sensor fuera rango en sensor o2 nox,True,2026-05-31 04:23:17.257255+00:00,21,sensores,True,True,False
0fdfc6da-5dec-4e6a-b086-576f9422cec7,escape_emisiones,sensor_o2_nox,Exceso emisiones en sensor o2 nox,True,2026-05-31 04:23:17.257255+00:00,39,sensores,True,True,False
af9a2fcc-efe7-4892-a98a-8eb134dd7641,escape_emisiones,adblue_scr,No funciona en adblue scr,True,2026-05-31 04:23:17.257255+00:00,14,scr,True,True,False
b0a1da7f-b1a4-4738-90cc-b278e041dac9,escape_emisiones,adblue_scr,Contaminacion en adblue scr,True,2026-05-31 04:23:17.257255+00:00,8,scr,True,True,False
e05ca271-698b-4572-9e7d-d75adab1cabe,escape_emisiones,adblue_scr,Exceso emisiones en adblue scr,True,2026-05-31 04:23:17.257255+00:00,39,scr,True,True,False
6db0262e-185e-4b19-8026-fad631b8d663,transmision,caja_cambios,Ruido en caja cambios,True,2026-05-31 04:23:17.257255+00:00,12,caja,True,True,True
e3713bb7-63d3-47fe-afba-16f54605b4c7,transmision,caja_cambios,No entra cambio en caja cambios,True,2026-05-31 04:23:17.257255+00:00,41,caja,True,True,True
cb19f498-128c-4a2d-828c-7491f4fa4e65,transmision,caja_cambios,Fuga en caja cambios,True,2026-05-31 04:23:17.257255+00:00,2,caja,True,True,True
d1a184ec-7a86-4910-a0bd-c5226fec5b3a,transmision,caja_cambios,Sobrecalentamiento en caja cambios,True,2026-05-31 04:23:17.257255+00:00,9,caja,True,True,True
62113ebe-25ca-4007-8626-b7b2a1bc934b,transmision,caja_cambios,Vibracion en caja cambios,True,2026-05-31 04:23:17.257255+00:00,13,caja,True,True,True
